Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,30.12,2.1046180549901896,0.1848285034287396,0.29243844024238974,0.18120684377540816,4007448,0.0,87.5770925110132,0.0,0.0,0.0,13.452914798206278,0.0,0.0,95.17453798767967,96.23389494549059,"[[0, 0, 0, 0, 0, 16, 0, 0, 586, 378], [0, 994, 0, 0, 0, 5, 0, 0, 129, 7], [0, 25, 0, 0, 1, 0, 0, 0, 854, 152], [0, 22, 0, 0, 0, 85, 0, 0, 655, 248], [0, 1, 0, 0, 0, 0, 0, 0, 34, 947], [0, 23, 0, 0, 0, 120, 0, 0, 575, 174], [0, 25, 0, 0, 0, 5, 0, 0, 422, 506], [0, 17, 0, 0, 0, 0, 0, 0, 103, 908], [0, 2, 0, 0, 0, 1, 0, 0, 927, 44], [0, 2, 0, 0, 0, 1, 0, 0, 35, 971]]"
2,39.1,1.88293903171064,0.36066306856869834,0.37610343840874366,0.24160924614316137,8515825,0.0,99.29515418502203,82.84883720930233,93.76237623762376,89.81670061099797,0.672645739910314,9.707724425887266,0.0,0.0,0.0,"[[0, 3, 331, 604, 41, 0, 1, 0, 0, 0], [0, 1127, 1, 7, 0, 0, 0, 0, 0, 0], [0, 106, 855, 41, 30, 0, 0, 0, 0, 0], [0, 36, 22, 947, 5, 0, 0, 0, 0, 0], [0, 41, 40, 19, 882, 0, 0, 0, 0, 0], [0, 198, 41, 598, 48, 6, 1, 0, 0, 0], [0, 69, 692, 32, 72, 0, 93, 0, 0, 0], [0, 220, 68, 411, 329, 0, 0, 0, 0, 0], [0, 164, 149, 632, 29, 0, 0, 0, 0, 0], [0, 56, 36, 253, 664, 0, 0, 0, 0, 0]]"
3,27.29,2.187231498785293,0.41235411375744635,0.2640535529605337,0.22373955109801763,13024201,100.0,90.66079295154185,5.038759689922481,23.66336633663366,10.9979633401222,2.690582959641256,31.002087682672236,0.0,0.0,0.0,"[[980, 0, 0, 0, 0, 0, 0, 0, 0, 0], [47, 1029, 1, 38, 0, 5, 15, 0, 0, 0], [830, 9, 52, 31, 0, 0, 110, 0, 0, 0], [764, 1, 0, 239, 3, 1, 2, 0, 0, 0], [787, 0, 0, 2, 108, 32, 53, 0, 0, 0], [854, 4, 0, 2, 0, 24, 8, 0, 0, 0], [657, 3, 0, 0, 1, 0, 297, 0, 0, 0], [816, 14, 2, 106, 12, 68, 10, 0, 0, 0], [967, 0, 0, 3, 0, 0, 4, 0, 0, 0], [933, 1, 0, 8, 11, 53, 3, 0, 0, 0]]"
4,44.76,1.742202398114311,0.49882639159692765,0.44179256386912663,0.3555807383234487,17031647,95.61224489795919,99.20704845814979,30.620155038759687,64.65346534653466,99.79633401221996,50.56053811659192,1.1482254697286012,0.19455252918287938,0.0,0.0,"[[937, 0, 0, 0, 42, 1, 0, 0, 0, 0], [0, 1126, 0, 3, 4, 1, 1, 0, 0, 0], [346, 160, 316, 31, 152, 1, 26, 0, 0, 0], [185, 44, 2, 653, 44, 82, 0, 0, 0, 0], [0, 2, 0, 0, 980, 0, 0, 0, 0, 0], [208, 25, 0, 12, 193, 451, 3, 0, 0, 0], [73, 26, 0, 0, 837, 11, 11, 0, 0, 0], [35, 162, 11, 30, 788, 0, 0, 2, 0, 0], [314, 110, 0, 17, 317, 207, 9, 0, 0, 0], [14, 17, 0, 4, 968, 6, 0, 0, 0, 0]]"
5,65.03,0.9390864843568101,0.7846902985315473,0.6476547594305295,0.5970359611658468,22040956,95.71428571428572,99.38325991189427,33.042635658914726,89.00990099009901,7.942973523421588,51.45739910313901,87.36951983298539,0.2918287937743191,88.39835728952772,95.0445986124876,"[[938, 1, 0, 3, 0, 3, 0, 0, 24, 11], [0, 1128, 0, 3, 0, 0, 2, 0, 2, 0], [64, 182, 341, 38, 5, 0, 92, 0, 272, 38], [1, 35, 1, 899, 0, 3, 2, 0, 44, 25], [1, 23, 0, 0, 78, 0, 24, 0, 5, 851], [9, 64, 0, 156, 2, 459, 21, 0, 130, 51], [29, 33, 0, 1, 15, 7, 837, 0, 28, 8], [3, 92, 17, 8, 0, 0, 0, 3, 17, 888], [6, 52, 0, 22, 1, 1, 4, 0, 861, 27], [11, 18, 0, 9, 2, 1, 1, 0, 8, 959]]"
6,70.16,0.7974763942983585,0.7974068379739366,0.6998262520997869,0.6893150416856338,24545611,75.81632653061224,99.11894273127754,45.73643410852713,69.4059405940594,56.61914460285132,57.959641255605376,89.4572025052192,15.758754863813229,96.09856262833677,93.85530227948465,"[[743, 1, 0, 7, 3, 38, 9, 7, 129, 43], [0, 1125, 0, 0, 0, 0, 2, 0, 8, 0], [6, 153, 472, 14, 18, 1, 53, 10, 277, 28], [0, 70, 3, 701, 0, 31, 5, 9, 154, 37], [1, 22, 1, 0, 556, 0, 23, 0, 14, 365], [1, 48, 1, 20, 7, 517, 25, 5, 238, 30], [6, 20, 6, 1, 30, 7, 857, 0, 29, 2], [0, 82, 23, 1, 3, 0, 0, 162, 15, 742], [0, 27, 0, 3, 1, 0, 3, 0, 936, 4], [1, 20, 2, 2, 11, 2, 1, 0, 23, 947]]"
7,54.56,1.3525308277279424,0.6858529324803377,0.5394378367988746,0.5374095470051321,27050266,78.87755102040816,90.30837004405286,37.01550387596899,99.60396039603961,43.075356415478616,27.242152466367713,66.38830897703549,0.0,28.54209445585216,68.38453914767096,"[[773, 1, 0, 182, 1, 11, 0, 0, 2, 10], [0, 1025, 0, 109, 0, 1, 0, 0, 0, 0], [7, 31, 382, 555, 15, 0, 5, 0, 16, 21], [0, 0, 1, 1006, 0, 0, 0, 0, 0, 3], [1, 5, 4, 128, 423, 0, 2, 0, 4, 415], [4, 23, 1, 590, 4, 243, 5, 0, 18, 4], [23, 47, 50, 86, 88, 14, 636, 0, 13, 1], [2, 8, 0, 491, 1, 0, 0, 0, 0, 526], [0, 12, 1, 676, 2, 2, 0, 0, 278, 3], [6, 0, 2, 306, 3, 2, 0, 0, 0, 690]]"
8,52.55,1.4579625400110556,0.7621686746244533,0.5201711941914849,0.5113228330169315,30556782,69.6938775510204,91.54185022026432,99.03100775193798,48.415841584158414,62.016293279022406,72.30941704035875,11.377870563674323,1.556420233463035,14.476386036960987,49.75222993062438,"[[683, 0, 251, 0, 1, 39, 3, 0, 2, 1], [0, 1039, 95, 0, 0, 1, 0, 0, 0, 0], [0, 2, 1022, 0, 4, 1, 2, 1, 0, 0], [1, 7, 491, 489, 0, 16, 1, 0, 4, 1], [0, 24, 302, 7, 609, 2, 7, 0, 0, 31], [9, 22, 145, 49, 0, 645, 18, 0, 2, 2], [5, 5, 833, 0, 1, 5, 109, 0, 0, 0], [7, 50, 395, 17, 3, 10, 0, 16, 3, 527], [4, 17, 784, 5, 1, 17, 3, 0, 141, 2], [5, 33, 276, 25, 156, 12, 0, 0, 0, 502]]"
9,46.63,1.822210830431015,0.7604535293463167,0.46139100613227413,0.46581161093510276,33061437,73.36734693877551,80.26431718061674,14.244186046511627,99.70297029702971,36.252545824847246,26.45739910313901,61.06471816283925,2.0428015564202333,14.476386036960987,53.5183349851338,"[[719, 0, 0, 253, 0, 7, 1, 0, 0, 0], [0, 911, 0, 223, 0, 1, 0, 0, 0, 0], [11, 13, 147, 851, 1, 1, 4, 1, 1, 2], [0, 0, 0, 1007, 0, 0, 0, 0, 0, 3], [17, 5, 30, 253, 356, 0, 2, 0, 0, 319], [10, 8, 5, 628, 0, 236, 1, 0, 2, 2], [34, 27, 107, 169, 8, 26, 585, 0, 1, 1], [5, 8, 0, 650, 2, 0, 0, 21, 0, 342], [7, 7, 0, 783, 1, 25, 1, 0, 141, 9], [16, 0, 11, 440, 1, 1, 0, 0, 0, 540]]"
10,68.5,0.9808093133254554,0.7685013127445584,0.6816297605986414,0.6689374729652946,36067021,94.18367346938776,94.00881057268722,31.1046511627907,27.722772277227726,82.9938900203666,44.17040358744394,72.96450939457203,98.15175097276264,95.89322381930184,40.43607532210109,"[[923, 0, 0, 1, 0, 0, 0, 39, 17, 0], [0, 1067, 0, 0, 0, 0, 2, 23, 43, 0], [35, 34, 321, 109, 21, 0, 6, 117, 374, 15], [15, 7, 2, 280, 0, 64, 0, 249, 390, 3], [3, 0, 0, 0, 815, 0, 4, 33, 7, 120], [28, 6, 1, 1, 16, 394, 8, 101, 332, 5], [42, 6, 22, 2, 132, 15, 699, 13, 24, 3], [1, 5, 1, 0, 4, 0, 0, 1009, 1, 7], [3, 2, 0, 1, 9, 0, 0, 25, 934, 0], [10, 1, 0, 0, 28, 0, 0, 548, 14, 408]]"
