Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,35.73,1.782392323588411,0.3265543274126735,0.35730000000000006,0.24323107435462762,11479280,78.4,0.0,12.4,93.30000000000001,0.2,6.7,0.0,97.1,69.19999999999999,0.0,"[[784, 0, 4, 205, 0, 0, 0, 2, 5, 0], [32, 0, 2, 965, 0, 0, 0, 0, 1, 0], [790, 0, 124, 73, 0, 0, 0, 8, 5, 0], [67, 0, 0, 933, 0, 0, 0, 0, 0, 0], [688, 0, 67, 235, 2, 0, 0, 4, 4, 0], [26, 0, 1, 196, 0, 67, 0, 611, 96, 3], [730, 0, 46, 189, 2, 2, 0, 24, 7, 0], [0, 0, 0, 11, 0, 0, 0, 971, 18, 0], [71, 0, 12, 124, 5, 1, 0, 95, 692, 0], [43, 0, 1, 414, 1, 0, 0, 221, 320, 0]]"
2,59.38,1.07951162645992,0.547176399474722,0.5938,0.5344168555832673,24393470,78.2,95.89999999999999,71.89999999999999,0.0,47.4,26.700000000000003,7.8,92.10000000000001,83.89999999999999,89.9,"[[782, 105, 26, 0, 11, 7, 54, 4, 6, 5], [12, 959, 13, 0, 10, 2, 2, 0, 1, 1], [13, 9, 719, 0, 193, 3, 56, 0, 7, 0], [54, 794, 10, 0, 101, 1, 37, 2, 1, 0], [1, 71, 428, 0, 474, 5, 17, 0, 4, 0], [3, 4, 3, 0, 1, 267, 0, 459, 67, 196], [242, 65, 431, 0, 149, 14, 78, 3, 13, 5], [0, 0, 0, 0, 0, 5, 0, 921, 8, 66], [1, 17, 24, 0, 13, 8, 46, 19, 839, 33], [1, 2, 8, 0, 3, 1, 5, 72, 9, 899]]"
3,67.93,0.863906278682593,0.6956565275496135,0.6793,0.659122273805272,37307660,77.60000000000001,94.5,70.89999999999999,16.6,53.300000000000004,78.10000000000001,29.2,87.3,88.3,83.5,"[[776, 51, 17, 12, 9, 6, 115, 1, 12, 1], [6, 945, 16, 8, 10, 4, 10, 0, 1, 0], [9, 4, 709, 0, 191, 1, 78, 0, 8, 0], [92, 494, 9, 166, 103, 1, 131, 0, 4, 0], [0, 30, 371, 6, 533, 1, 55, 0, 3, 1], [0, 2, 0, 1, 0, 781, 7, 110, 33, 66], [207, 22, 292, 4, 154, 4, 292, 0, 23, 2], [0, 0, 0, 0, 0, 55, 0, 873, 27, 45], [0, 5, 21, 7, 14, 23, 32, 8, 883, 7], [0, 1, 6, 0, 1, 28, 12, 71, 46, 835]]"
4,70.11,0.8463278216675828,0.7147643525442685,0.7011000000000001,0.6744496678036103,48786940,89.0,92.7,59.3,49.8,85.8,90.3,3.9,91.10000000000001,57.99999999999999,81.2,"[[890, 8, 25, 28, 23, 10, 11, 2, 1, 2], [21, 927, 14, 16, 17, 4, 0, 0, 0, 1], [44, 1, 593, 2, 344, 4, 10, 0, 2, 0], [153, 142, 10, 498, 177, 3, 16, 1, 0, 0], [3, 3, 108, 16, 858, 5, 5, 0, 1, 1], [1, 1, 1, 1, 0, 903, 0, 68, 0, 25], [321, 6, 191, 11, 406, 18, 39, 0, 2, 6], [0, 0, 0, 0, 0, 56, 0, 911, 0, 33], [13, 2, 61, 12, 96, 139, 25, 49, 580, 23], [1, 1, 5, 0, 4, 58, 2, 117, 0, 812]]"
5,72.33,0.7754628358367152,0.7345732933467534,0.7232999999999999,0.6941775446275965,63136040,82.69999999999999,93.60000000000001,84.2,79.60000000000001,47.599999999999994,95.7,1.3,75.6,91.10000000000001,71.89999999999999,"[[827, 8, 44, 84, 7, 10, 5, 0, 15, 0], [4, 936, 20, 31, 4, 4, 0, 0, 1, 0], [24, 1, 842, 7, 114, 2, 0, 0, 10, 0], [60, 53, 43, 796, 38, 1, 4, 0, 5, 0], [2, 5, 467, 42, 476, 2, 1, 0, 5, 0], [1, 1, 1, 2, 0, 957, 1, 18, 4, 15], [269, 5, 511, 56, 107, 7, 13, 0, 31, 1], [0, 0, 0, 0, 0, 199, 0, 756, 9, 36], [1, 3, 35, 9, 2, 30, 1, 6, 911, 2], [1, 1, 12, 1, 0, 162, 2, 64, 38, 719]]"
6,76.12,0.6792960259289788,0.7634597314979965,0.7612,0.7472637514011118,70310590,76.0,92.30000000000001,69.5,90.3,69.1,95.0,19.900000000000002,88.4,91.2,69.5,"[[760, 4, 18, 138, 7, 8, 50, 0, 15, 0], [2, 923, 14, 51, 4, 4, 1, 0, 1, 0], [21, 1, 695, 15, 224, 3, 27, 0, 14, 0], [21, 13, 12, 903, 22, 1, 24, 0, 4, 0], [1, 4, 186, 77, 691, 2, 30, 0, 8, 1], [0, 1, 0, 4, 0, 950, 1, 36, 1, 7], [193, 2, 191, 121, 246, 9, 199, 0, 39, 0], [0, 0, 0, 0, 0, 82, 0, 884, 5, 29], [1, 3, 18, 18, 3, 30, 4, 9, 912, 2], [0, 0, 4, 5, 1, 150, 2, 125, 18, 695]]"
7,74.32,0.6905179772133263,0.7550526998860991,0.7432000000000001,0.7175870435491948,77485140,86.5,94.0,81.69999999999999,79.4,54.400000000000006,91.5,7.3999999999999995,96.39999999999999,94.19999999999999,57.699999999999996,"[[865, 5, 24, 56, 4, 5, 20, 0, 21, 0], [8, 940, 18, 29, 2, 1, 1, 0, 1, 0], [31, 1, 817, 8, 126, 0, 3, 0, 14, 0], [87, 34, 30, 794, 33, 0, 13, 0, 8, 1], [2, 5, 390, 37, 544, 0, 14, 0, 8, 0], [1, 1, 0, 1, 0, 915, 4, 59, 8, 11], [308, 4, 400, 32, 136, 5, 74, 0, 41, 0], [0, 0, 0, 0, 0, 26, 0, 964, 3, 7], [2, 4, 17, 9, 1, 13, 1, 9, 942, 2], [2, 0, 13, 1, 0, 73, 2, 283, 49, 577]]"
8,74.04,0.6947967757622655,0.7911098804402519,0.7404,0.7395463868409144,87529510,49.8,95.7,33.800000000000004,55.300000000000004,90.5,94.5,56.699999999999996,89.2,89.60000000000001,85.3,"[[498, 8, 5, 34, 19, 5, 420, 0, 11, 0], [1, 957, 7, 10, 14, 3, 7, 0, 1, 0], [5, 1, 338, 2, 376, 1, 270, 0, 6, 1], [31, 100, 2, 553, 199, 3, 109, 0, 2, 1], [0, 4, 17, 2, 905, 0, 69, 0, 2, 1], [0, 1, 0, 1, 0, 945, 1, 40, 0, 12], [61, 7, 48, 8, 284, 6, 567, 0, 18, 1], [0, 0, 0, 0, 0, 51, 0, 892, 0, 57], [0, 3, 4, 2, 14, 37, 36, 7, 896, 1], [0, 0, 0, 0, 2, 48, 6, 88, 3, 853]]"
9,72.95,0.7280678225401491,0.7759822783071886,0.7295,0.7221047025553973,94704060,55.2,95.8,49.7,80.0,61.8,90.9,70.5,98.0,95.3,32.300000000000004,"[[552, 7, 4, 71, 3, 6, 334, 0, 23, 0], [1, 958, 6, 24, 3, 1, 6, 0, 1, 0], [5, 6, 497, 7, 165, 1, 293, 1, 25, 0], [14, 45, 3, 800, 33, 1, 94, 0, 9, 1], [0, 8, 86, 33, 618, 3, 239, 0, 12, 1], [0, 1, 0, 1, 0, 909, 1, 84, 2, 2], [72, 4, 79, 29, 60, 6, 705, 0, 45, 0], [0, 0, 0, 0, 0, 17, 0, 980, 2, 1], [1, 2, 6, 3, 2, 16, 9, 8, 953, 0], [0, 2, 0, 2, 1, 122, 5, 512, 33, 323]]"
10,74.92,0.6751124926934988,0.7682720480315945,0.7492,0.7253745876586539,103313520,78.7,96.0,92.10000000000001,70.5,43.5,90.3,5.6000000000000005,84.2,94.39999999999999,93.89999999999999,"[[787, 20, 63, 59, 9, 4, 36, 0, 21, 1], [0, 960, 18, 18, 1, 0, 1, 0, 1, 1], [10, 1, 921, 6, 48, 0, 1, 0, 12, 1], [43, 100, 75, 705, 66, 0, 4, 0, 6, 1], [0, 4, 538, 15, 435, 0, 2, 0, 5, 1], [0, 1, 1, 1, 0, 903, 0, 41, 8, 45], [229, 11, 545, 33, 86, 3, 56, 0, 37, 0], [0, 0, 0, 0, 0, 30, 0, 842, 3, 125], [0, 3, 29, 3, 2, 11, 0, 4, 944, 4], [0, 0, 3, 0, 0, 12, 2, 36, 8, 939]]"
