Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,18.66,2.167476626249929,0.11142449177411762,0.19820955596976744,0.08442629600442714,4004816,0.0,0.0,1.065891472868217,0.0,0.0,88.11659192825113,0.0,0.0,88.80903490759754,20.218037661050545,"[[0, 0, 0, 0, 0, 492, 0, 0, 469, 19], [0, 0, 0, 0, 0, 784, 0, 0, 351, 0], [0, 0, 11, 0, 0, 27, 0, 0, 954, 40], [0, 0, 1, 0, 0, 781, 0, 0, 225, 3], [0, 0, 1, 0, 0, 221, 0, 0, 471, 289], [0, 0, 0, 0, 0, 786, 0, 0, 104, 2], [0, 0, 9, 0, 0, 215, 0, 0, 698, 36], [0, 0, 0, 0, 0, 421, 0, 0, 399, 208], [0, 0, 0, 0, 0, 108, 0, 0, 865, 1], [0, 0, 0, 0, 0, 526, 0, 0, 279, 204]]"
2,42.01,1.7205521527189798,0.2283158537506642,0.4116161395983874,0.28747138832942276,8510234,0.0,98.94273127753304,89.92248062015504,79.70297029702971,76.68024439918534,66.3677130044843,0.0,0.0,0.0,0.0,"[[0, 4, 508, 31, 12, 425, 0, 0, 0, 0], [0, 1123, 10, 1, 0, 1, 0, 0, 0, 0], [0, 73, 928, 9, 12, 10, 0, 0, 0, 0], [0, 81, 72, 805, 7, 45, 0, 0, 0, 0], [0, 42, 172, 1, 753, 14, 0, 0, 0, 0], [0, 115, 57, 112, 16, 592, 0, 0, 0, 0], [0, 54, 874, 1, 10, 19, 0, 0, 0, 0], [0, 235, 141, 131, 414, 96, 0, 0, 0, 11], [0, 130, 374, 82, 11, 377, 0, 0, 0, 0], [0, 71, 147, 36, 586, 169, 0, 0, 0, 0]]"
3,56.29,1.3695455642934806,0.6391474551720642,0.5597492989052372,0.4812921166699743,13015652,24.489795918367346,95.68281938325991,87.01550387596899,91.0891089108911,83.5030549898167,72.98206278026906,91.33611691022965,11.186770428015565,2.4640657084188913,0.0,"[[240, 0, 46, 54, 20, 460, 160, 0, 0, 0], [0, 1086, 15, 20, 0, 8, 6, 0, 0, 0], [1, 19, 898, 40, 27, 24, 18, 0, 5, 0], [0, 9, 26, 920, 5, 42, 8, 0, 0, 0], [0, 5, 16, 1, 820, 49, 91, 0, 0, 0], [0, 21, 10, 151, 30, 651, 29, 0, 0, 0], [0, 17, 27, 4, 11, 24, 875, 0, 0, 0], [0, 69, 76, 253, 186, 326, 3, 115, 0, 0], [3, 17, 44, 197, 15, 585, 89, 0, 24, 0], [1, 9, 26, 50, 591, 305, 27, 0, 0, 0]]"
4,53.65,1.3645356615511373,0.5724150662237857,0.5304961160739434,0.45822013860027877,17020468,98.36734693877551,98.32599118942731,58.81782945736435,80.990099009901,99.4908350305499,61.098654708520186,7.724425887265135,25.680933852140075,0.0,0.0,"[[964, 0, 0, 0, 15, 1, 0, 0, 0, 0], [1, 1116, 0, 6, 7, 5, 0, 0, 0, 0], [226, 52, 607, 43, 94, 7, 3, 0, 0, 0], [102, 20, 5, 818, 21, 42, 0, 2, 0, 0], [3, 1, 0, 0, 977, 1, 0, 0, 0, 0], [210, 15, 1, 60, 61, 545, 0, 0, 0, 0], [199, 34, 0, 0, 623, 28, 74, 0, 0, 0], [75, 82, 27, 75, 477, 28, 0, 264, 0, 0], [568, 38, 1, 59, 79, 226, 3, 0, 0, 0], [29, 12, 0, 10, 893, 65, 0, 0, 0, 0]]"
5,71.84,0.8877082142395715,0.7796397432211356,0.7144376318645171,0.7093480230532289,22026488,98.57142857142858,99.55947136563876,47.86821705426357,87.62376237623762,82.9938900203666,54.82062780269058,65.1356993736952,41.050583657587545,61.293634496919914,75.5203171456888,"[[966, 2, 0, 0, 5, 0, 0, 0, 5, 2], [0, 1130, 0, 4, 0, 0, 1, 0, 0, 0], [109, 179, 494, 43, 61, 0, 26, 7, 107, 6], [28, 50, 4, 885, 2, 5, 2, 8, 10, 16], [8, 19, 0, 0, 815, 0, 7, 0, 0, 133], [119, 70, 1, 150, 25, 489, 8, 2, 7, 21], [107, 58, 0, 2, 153, 9, 624, 0, 4, 1], [8, 113, 25, 6, 16, 0, 0, 422, 5, 433], [150, 106, 0, 43, 17, 12, 6, 6, 597, 37], [32, 31, 0, 10, 163, 3, 0, 6, 2, 762]]"
6,78.53,0.725271069489348,0.8185470849803874,0.7811760151377108,0.7797472663968863,24529498,91.73469387755102,99.55947136563876,56.395348837209305,82.67326732673267,53.76782077393075,56.502242152466366,92.79749478079331,86.47859922178989,86.24229979466119,75.02477700693755,"[[899, 2, 0, 2, 2, 2, 17, 5, 47, 4], [0, 1130, 0, 2, 0, 0, 2, 0, 1, 0], [11, 168, 582, 17, 16, 0, 68, 24, 141, 5], [1, 70, 7, 835, 0, 3, 4, 35, 51, 4], [0, 36, 2, 0, 528, 0, 79, 24, 3, 310], [9, 81, 1, 105, 3, 504, 34, 31, 110, 14], [9, 31, 1, 2, 8, 5, 889, 1, 11, 1], [2, 64, 27, 1, 3, 0, 0, 889, 2, 40], [4, 72, 0, 19, 3, 1, 12, 19, 840, 4], [6, 37, 3, 6, 20, 2, 9, 152, 17, 757]]"
7,77.74,0.71556019221251,0.8290674767743769,0.7718268924683143,0.7764892827493809,27032508,92.44897959183673,99.55947136563876,70.93023255813954,96.63366336633663,72.50509164969449,50.44843049327354,84.23799582463467,64.29961089494164,58.0082135523614,82.7552031714569,"[[906, 2, 2, 45, 1, 8, 2, 1, 10, 3], [0, 1130, 0, 4, 0, 0, 1, 0, 0, 0], [8, 107, 732, 111, 20, 0, 10, 10, 30, 4], [0, 13, 7, 976, 0, 1, 0, 5, 3, 5], [2, 46, 11, 14, 712, 0, 24, 0, 2, 171], [7, 58, 4, 322, 6, 450, 18, 2, 20, 5], [14, 46, 45, 9, 20, 15, 807, 0, 2, 0], [2, 62, 38, 44, 5, 0, 0, 661, 0, 216], [2, 93, 9, 277, 2, 8, 7, 2, 565, 9], [5, 30, 16, 62, 43, 2, 1, 12, 3, 835]]"
8,76.94,0.6995118204206704,0.8250268128854433,0.7651723734418567,0.762492038298675,30536722,92.75510204081633,98.59030837004406,93.12015503875969,96.03960396039604,76.9857433808554,65.5829596412556,75.67849686847599,39.10505836575876,50.308008213552355,77.00693756194251,"[[909, 1, 20, 24, 1, 19, 3, 0, 2, 1], [0, 1119, 7, 6, 0, 1, 2, 0, 0, 0], [6, 15, 961, 23, 9, 0, 6, 3, 7, 2], [0, 9, 20, 970, 0, 4, 0, 1, 2, 4], [2, 21, 58, 24, 756, 0, 22, 0, 1, 98], [7, 30, 24, 215, 4, 585, 21, 0, 3, 3], [12, 21, 170, 5, 8, 17, 725, 0, 0, 0], [3, 57, 74, 89, 5, 0, 0, 402, 1, 397], [3, 61, 138, 237, 3, 27, 9, 0, 490, 6], [10, 22, 54, 78, 62, 5, 0, 1, 0, 777]]"
9,79.62,0.6176155472334962,0.8364709071065161,0.7928267361366821,0.7904524495510138,33039732,95.10204081632652,99.38325991189427,89.63178294573643,95.04950495049505,51.425661914460285,80.94170403587444,78.18371607515657,58.0739299610895,55.441478439425055,89.59365708622398,"[[932, 1, 1, 16, 0, 26, 1, 1, 1, 1], [0, 1128, 0, 4, 0, 1, 2, 0, 0, 0], [12, 27, 925, 24, 9, 1, 8, 11, 7, 8], [0, 15, 10, 960, 0, 13, 0, 4, 3, 5], [6, 26, 25, 8, 505, 3, 17, 0, 1, 391], [13, 21, 13, 101, 2, 722, 14, 1, 1, 4], [25, 22, 111, 5, 10, 35, 749, 0, 1, 0], [4, 63, 49, 35, 2, 1, 0, 597, 0, 277], [12, 75, 53, 178, 2, 85, 12, 5, 540, 12], [12, 31, 14, 21, 7, 10, 1, 9, 0, 904]]"
10,85.1,0.49704674614694555,0.8615214068753904,0.8488085144906196,0.8473687972619107,36043344,97.24489795918367,98.32599118942731,79.55426356589147,85.84158415841584,53.360488798370675,84.86547085201794,81.5240083507307,92.31517509727627,90.24640657084188,85.53022794846382,"[[953, 1, 0, 0, 0, 13, 1, 3, 7, 2], [0, 1116, 1, 2, 0, 1, 2, 1, 12, 0], [20, 12, 821, 18, 16, 3, 8, 35, 83, 16], [1, 7, 7, 867, 0, 43, 0, 46, 36, 3], [7, 2, 4, 1, 524, 1, 13, 7, 7, 416], [24, 10, 5, 30, 7, 757, 7, 16, 30, 6], [38, 6, 56, 2, 23, 37, 781, 2, 11, 2], [4, 16, 22, 6, 3, 0, 0, 949, 0, 28], [6, 11, 3, 19, 3, 25, 6, 16, 879, 6], [11, 7, 3, 6, 8, 7, 0, 94, 10, 863]]"
