Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,45.43,1.4551815133506116,0.44695068587205133,0.4542999999999999,0.3836542653307196,11468456,79.7,0.0,31.1,82.5,38.800000000000004,34.8,0.0,97.5,75.6,14.299999999999999,"[[797, 1, 5, 150, 9, 20, 0, 7, 11, 0], [48, 0, 8, 939, 3, 1, 0, 0, 1, 0], [443, 0, 311, 36, 159, 17, 0, 19, 15, 0], [162, 1, 0, 825, 6, 2, 0, 1, 3, 0], [335, 1, 129, 115, 388, 18, 0, 7, 7, 0], [3, 1, 0, 58, 0, 348, 0, 517, 61, 12], [590, 2, 85, 95, 126, 59, 0, 16, 26, 1], [0, 0, 0, 0, 0, 7, 0, 975, 16, 2], [15, 0, 6, 69, 39, 14, 0, 101, 756, 0], [25, 0, 0, 149, 4, 6, 0, 252, 421, 143]]"
2,59.1,1.0972479210494044,0.5612373074994745,0.591,0.5381587054553926,24370469,78.4,95.39999999999999,63.5,0.0,42.1,18.0,28.599999999999998,93.4,82.89999999999999,88.7,"[[784, 101, 16, 0, 9, 5, 69, 5, 7, 4], [15, 954, 10, 0, 10, 1, 7, 0, 1, 2], [12, 11, 635, 0, 167, 3, 166, 0, 6, 0], [93, 758, 4, 0, 72, 0, 70, 2, 1, 0], [4, 65, 378, 0, 421, 4, 125, 0, 3, 0], [2, 4, 3, 0, 0, 180, 1, 523, 46, 241], [245, 60, 274, 0, 106, 9, 286, 3, 14, 3], [0, 0, 0, 0, 0, 2, 0, 934, 6, 58], [1, 13, 19, 9, 12, 3, 47, 43, 829, 24], [1, 3, 3, 0, 2, 0, 8, 90, 6, 887]]"
3,66.58,0.9202430512958442,0.6809699963255758,0.6658000000000001,0.6292757273147773,37272482,81.0,94.3,55.60000000000001,3.1,77.9,75.3,20.200000000000003,83.89999999999999,84.8,89.7,"[[810, 56, 11, 2, 16, 6, 88, 1, 9, 1], [14, 943, 11, 1, 19, 3, 7, 0, 1, 1], [12, 4, 556, 0, 311, 1, 110, 0, 6, 0], [135, 572, 2, 31, 172, 1, 86, 0, 0, 1], [1, 25, 148, 0, 779, 0, 43, 0, 3, 1], [0, 2, 2, 1, 2, 753, 3, 106, 37, 94], [242, 19, 141, 2, 369, 4, 202, 0, 18, 3], [0, 0, 0, 0, 0, 72, 0, 839, 25, 64], [1, 8, 17, 5, 33, 20, 45, 8, 848, 15], [0, 1, 3, 0, 3, 24, 14, 39, 19, 897]]"
4,69.68,0.8519308643219189,0.7167335089414888,0.6968,0.6757563262760591,48740938,85.39999999999999,91.10000000000001,52.400000000000006,45.4,91.4,93.89999999999999,6.1,71.3,76.1,83.7,"[[854, 5, 20, 38, 28, 10, 37, 1, 5, 2], [19, 911, 12, 20, 31, 5, 1, 0, 0, 1], [27, 1, 524, 2, 415, 1, 25, 0, 5, 0], [151, 125, 8, 454, 229, 8, 23, 0, 1, 1], [3, 2, 60, 11, 914, 3, 5, 0, 1, 1], [0, 1, 1, 1, 0, 939, 2, 25, 0, 31], [281, 5, 146, 11, 473, 8, 61, 0, 13, 2], [0, 0, 0, 0, 0, 235, 0, 713, 3, 49], [3, 2, 32, 5, 48, 97, 20, 10, 761, 22], [1, 1, 6, 0, 3, 100, 7, 45, 0, 837]]"
5,74.09,0.7442896700324342,0.7304383782069153,0.7409,0.713699611326402,63076508,82.89999999999999,93.10000000000001,71.0,73.9,73.9,94.19999999999999,2.4,83.89999999999999,86.9,78.7,"[[829, 8, 33, 86, 14, 9, 12, 0, 9, 0], [4, 931, 17, 33, 10, 4, 0, 0, 1, 0], [33, 1, 710, 5, 240, 2, 3, 0, 6, 0], [60, 64, 32, 739, 91, 1, 8, 0, 4, 1], [2, 5, 219, 28, 739, 2, 2, 0, 2, 1], [0, 1, 1, 1, 0, 942, 1, 33, 2, 19], [274, 3, 311, 59, 302, 8, 24, 0, 17, 2], [0, 0, 0, 0, 0, 122, 0, 839, 5, 34], [2, 3, 40, 8, 12, 42, 7, 8, 869, 9], [1, 1, 13, 1, 1, 90, 4, 100, 2, 787]]"
6,76.07,0.6875267359204947,0.7573618859675937,0.7606999999999999,0.7323745875723162,70244293,79.5,94.19999999999999,68.4,83.1,78.5,88.5,4.3999999999999995,93.5,90.60000000000001,80.0,"[[795, 13, 27, 122, 9, 8, 13, 0, 13, 0], [4, 942, 15, 29, 4, 4, 1, 0, 1, 0], [30, 2, 684, 12, 255, 3, 2, 1, 11, 0], [32, 63, 25, 831, 38, 1, 6, 0, 3, 1], [2, 5, 144, 50, 785, 2, 5, 0, 6, 1], [0, 1, 0, 3, 0, 885, 1, 75, 7, 28], [234, 6, 241, 105, 328, 10, 44, 0, 31, 1], [0, 0, 0, 0, 0, 31, 0, 935, 5, 29], [1, 3, 24, 17, 5, 26, 2, 12, 906, 4], [1, 1, 6, 4, 2, 34, 3, 137, 12, 800]]"
7,76.4,0.6463944676775522,0.768427421426271,0.764,0.7537042615673368,77412078,82.39999999999999,93.60000000000001,74.5,85.1,60.199999999999996,84.89999999999999,28.199999999999996,97.7,93.0,64.4,"[[824, 6, 17, 94, 1, 5, 40, 0, 13, 0], [4, 936, 15, 36, 3, 3, 2, 0, 1, 0], [28, 2, 745, 12, 149, 3, 47, 1, 13, 0], [52, 33, 15, 851, 16, 1, 28, 0, 4, 0], [2, 5, 246, 66, 602, 2, 69, 0, 8, 0], [0, 1, 0, 3, 0, 849, 1, 120, 6, 20], [269, 4, 195, 66, 141, 10, 282, 0, 33, 0], [0, 0, 0, 0, 0, 14, 0, 977, 3, 6], [1, 3, 18, 12, 1, 18, 5, 10, 930, 2], [1, 1, 2, 2, 0, 53, 6, 272, 19, 644]]"
8,77.56,0.6169402042802531,0.7939405759991609,0.7756000000000001,0.7777676664564843,87446977,67.5,94.39999999999999,50.9,66.8,82.3,90.2,55.300000000000004,93.4,91.2,83.6,"[[675, 8, 8, 49, 7, 4, 236, 0, 12, 1], [5, 944, 10, 24, 7, 1, 8, 0, 1, 0], [10, 1, 509, 3, 270, 1, 195, 0, 11, 0], [55, 48, 3, 668, 101, 0, 121, 0, 3, 1], [0, 4, 47, 12, 823, 0, 110, 0, 4, 0], [0, 1, 0, 1, 0, 902, 1, 69, 1, 25], [122, 4, 92, 18, 184, 3, 553, 0, 24, 0], [0, 0, 0, 0, 0, 25, 0, 934, 1, 40], [0, 3, 10, 5, 4, 26, 29, 9, 912, 2], [0, 0, 1, 1, 2, 26, 8, 123, 3, 836]]"
9,73.84,0.6814909035119766,0.7873820124607178,0.7384000000000001,0.7394292614566105,94614762,45.7,96.2,39.900000000000006,64.5,71.0,92.60000000000001,73.5,96.2,94.0,64.8,"[[457, 15, 6, 55, 5, 4, 442, 0, 16, 0], [0, 962, 6, 13, 5, 1, 12, 0, 1, 0], [7, 6, 399, 3, 190, 1, 375, 0, 19, 0], [26, 90, 3, 645, 81, 0, 150, 0, 4, 1], [0, 6, 38, 10, 710, 0, 228, 0, 8, 0], [0, 1, 0, 1, 0, 926, 2, 59, 2, 9], [60, 6, 67, 17, 73, 3, 735, 0, 39, 0], [0, 0, 0, 0, 0, 31, 0, 962, 1, 6], [0, 2, 5, 3, 1, 25, 16, 6, 940, 2], [0, 0, 1, 3, 1, 55, 8, 266, 18, 648]]"
10,77.69,0.6059270490187044,0.7852052663272194,0.7769,0.7731207382619123,103216104,70.8,96.6,84.6,65.60000000000001,53.900000000000006,92.5,41.199999999999996,89.9,93.89999999999999,87.9,"[[708, 21, 37, 58, 8, 4, 148, 0, 15, 1], [1, 966, 12, 14, 4, 1, 1, 0, 1, 0], [9, 5, 846, 5, 82, 1, 41, 0, 11, 0], [46, 132, 51, 656, 74, 0, 34, 0, 6, 1], [0, 5, 375, 14, 539, 0, 60, 0, 7, 0], [0, 1, 0, 0, 0, 925, 1, 44, 4, 25], [148, 9, 271, 22, 97, 4, 412, 0, 37, 0], [0, 0, 0, 0, 0, 36, 0, 899, 5, 60], [0, 3, 28, 2, 1, 19, 2, 3, 939, 3], [0, 0, 2, 1, 1, 23, 4, 81, 9, 879]]"
