Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,18.92,2.168128094353234,0.11508899099269294,0.2005418969269829,0.08579669579991304,4007432,0.0,0.0,0.7751937984496124,0.0,0.0,84.75336322869956,0.0,0.0,92.81314168377823,22.2001982160555,"[[0, 0, 0, 0, 0, 437, 0, 0, 522, 21], [0, 0, 0, 0, 0, 785, 0, 0, 350, 0], [0, 0, 8, 0, 0, 20, 0, 0, 958, 46], [0, 0, 1, 0, 0, 703, 0, 0, 303, 3], [0, 0, 0, 0, 0, 199, 0, 0, 470, 313], [0, 1, 0, 0, 0, 756, 0, 0, 132, 3], [0, 0, 6, 0, 0, 174, 0, 0, 739, 39], [0, 0, 0, 0, 0, 379, 0, 0, 407, 242], [0, 0, 0, 0, 0, 69, 0, 0, 904, 1], [0, 0, 0, 0, 0, 486, 0, 0, 299, 224]]"
2,41.05,1.7034382873449843,0.3107160234300764,0.39988364131466503,0.2796168398368473,8515793,0.0,98.94273127753304,90.89147286821705,82.07920792079207,80.44806517311609,45.85201793721973,1.6701461377870561,0.0,0.0,0.0,"[[0, 4, 579, 81, 20, 296, 0, 0, 0, 0], [0, 1123, 10, 2, 0, 0, 0, 0, 0, 0], [0, 68, 938, 11, 14, 1, 0, 0, 0, 0], [0, 87, 76, 829, 8, 9, 1, 0, 0, 0], [0, 44, 145, 2, 790, 1, 0, 0, 0, 0], [0, 138, 64, 248, 32, 409, 1, 0, 0, 0], [0, 57, 866, 2, 11, 6, 16, 0, 0, 0], [0, 248, 136, 97, 535, 12, 0, 0, 0, 0], [0, 159, 519, 140, 29, 127, 0, 0, 0, 0], [0, 80, 127, 50, 711, 41, 0, 0, 0, 0]]"
3,62.04,1.3763498406821546,0.6465602030954274,0.6192314220981927,0.5548962599465983,13024154,75.81632653061224,91.80616740088105,83.81782945736434,92.67326732673268,80.95723014256619,76.79372197309418,94.258872651357,18.385214007782103,4.722792607802875,0.0,"[[743, 0, 15, 13, 14, 140, 55, 0, 0, 0], [0, 1042, 19, 44, 0, 23, 6, 0, 1, 0], [8, 7, 865, 52, 23, 20, 41, 1, 15, 0], [1, 3, 17, 936, 5, 41, 6, 1, 0, 0], [0, 0, 4, 7, 795, 69, 107, 0, 0, 0], [7, 9, 5, 127, 30, 685, 29, 0, 0, 0], [6, 5, 8, 3, 9, 24, 903, 0, 0, 0], [7, 29, 64, 283, 132, 317, 6, 189, 1, 0], [48, 2, 20, 211, 9, 552, 86, 0, 46, 0], [5, 3, 19, 64, 522, 355, 40, 1, 0, 0]]"
4,50.65,1.4838089994348276,0.5332174005829285,0.5002725497124616,0.42427714220121615,17031586,98.16326530612245,98.6784140969163,52.616279069767444,73.76237623762376,99.79633401221996,57.959641255605376,0.5219206680584552,18.77431906614786,0.0,0.0,"[[962, 0, 0, 0, 17, 1, 0, 0, 0, 0], [0, 1120, 0, 4, 8, 3, 0, 0, 0, 0], [251, 80, 543, 37, 117, 2, 2, 0, 0, 0], [148, 28, 2, 745, 33, 52, 0, 2, 0, 0], [1, 1, 0, 0, 980, 0, 0, 0, 0, 0], [230, 18, 1, 35, 90, 517, 1, 0, 0, 0], [164, 37, 0, 0, 730, 22, 5, 0, 0, 0], [62, 103, 20, 41, 605, 4, 0, 193, 0, 0], [526, 56, 2, 40, 142, 206, 2, 0, 0, 0], [26, 16, 0, 8, 941, 18, 0, 0, 0, 0]]"
5,67.38,0.8957155662984513,0.7717286485582998,0.6702505037490933,0.6498032677831558,22040876,95.81632653061224,99.55947136563876,43.12015503875969,86.03960396039604,15.682281059063136,54.48430493273543,80.27139874739039,20.525291828793772,80.69815195071868,94.05351833498513,"[[939, 2, 0, 0, 0, 0, 0, 0, 24, 15], [0, 1130, 0, 3, 0, 0, 1, 0, 1, 0], [41, 203, 445, 36, 25, 0, 59, 7, 188, 28], [3, 61, 1, 869, 0, 3, 3, 4, 41, 25], [1, 25, 0, 0, 154, 0, 18, 0, 3, 781], [28, 87, 0, 144, 6, 486, 18, 0, 69, 54], [36, 55, 1, 2, 50, 11, 769, 0, 21, 13], [3, 111, 22, 4, 1, 0, 0, 211, 5, 671], [22, 84, 0, 30, 2, 2, 6, 2, 786, 40], [11, 29, 0, 8, 4, 0, 0, 1, 7, 949]]"
6,77.21,0.7384580947911016,0.806477660679296,0.7695473959911817,0.765340538230839,24545521,86.83673469387755,99.55947136563876,64.43798449612403,79.20792079207921,64.66395112016293,68.83408071748879,96.4509394572025,90.07782101167315,84.39425051334702,35.08424182358771,"[[851, 2, 2, 5, 0, 11, 54, 16, 37, 2], [0, 1130, 0, 2, 0, 0, 2, 0, 1, 0], [6, 127, 665, 13, 9, 0, 91, 26, 92, 3], [0, 80, 10, 800, 0, 34, 7, 36, 43, 0], [0, 42, 4, 0, 635, 2, 149, 50, 2, 98], [4, 69, 1, 56, 4, 614, 62, 25, 54, 3], [4, 14, 3, 1, 4, 3, 924, 2, 3, 0], [1, 55, 36, 0, 3, 0, 2, 926, 1, 4], [0, 73, 1, 18, 4, 8, 30, 18, 822, 0], [2, 42, 11, 5, 48, 9, 24, 497, 17, 354]]"
7,67.2,0.9419234259821736,0.8021537264744104,0.6656450221023653,0.6719402786476386,27050166,90.10204081632654,97.79735682819384,62.1124031007752,98.61386138613861,79.53156822810591,43.04932735426009,64.92693110647181,34.24124513618677,29.36344969199179,65.90683845391476,"[[883, 2, 1, 80, 2, 10, 0, 0, 0, 2], [0, 1110, 0, 25, 0, 0, 0, 0, 0, 0], [9, 48, 641, 289, 26, 0, 3, 7, 5, 4], [0, 4, 3, 996, 0, 1, 0, 2, 0, 4], [2, 19, 14, 77, 781, 2, 4, 0, 0, 83], [7, 38, 7, 438, 8, 384, 3, 1, 4, 2], [22, 49, 112, 48, 83, 21, 622, 0, 1, 0], [2, 44, 31, 221, 9, 0, 0, 352, 0, 369], [5, 51, 8, 594, 5, 20, 0, 0, 286, 5], [9, 10, 15, 238, 67, 5, 0, 0, 0, 665]]"
8,78.95,0.6615027720554949,0.830620789013552,0.7877038244922837,0.7805865319385589,30556669,94.6938775510204,98.32599118942731,95.15503875968993,90.0,81.4663951120163,79.7085201793722,82.88100208768267,31.03112840466926,58.624229979466115,75.81764122893955,"[[928, 0, 23, 2, 0, 18, 6, 0, 2, 1], [0, 1116, 14, 2, 0, 1, 2, 0, 0, 0], [5, 8, 982, 7, 7, 2, 10, 3, 5, 3], [1, 14, 56, 909, 2, 17, 0, 1, 6, 4], [2, 16, 58, 1, 800, 3, 32, 0, 0, 70], [14, 22, 25, 85, 6, 711, 23, 0, 3, 3], [12, 8, 119, 2, 7, 15, 794, 0, 1, 0], [6, 65, 120, 36, 6, 1, 0, 319, 2, 473], [9, 42, 217, 62, 10, 40, 19, 0, 571, 4], [15, 23, 54, 16, 116, 16, 1, 2, 1, 765]]"
9,75.47,0.70308154411971,0.8124555519696655,0.7497276130558806,0.7360460494650072,33061314,95.91836734693877,99.55947136563876,74.8062015503876,96.23762376237623,15.173116089613034,73.76681614349776,77.55741127348644,75.29182879377431,51.129363449691986,90.28741328047572,"[[940, 2, 0, 16, 0, 17, 0, 2, 1, 2], [0, 1130, 0, 4, 0, 1, 0, 0, 0, 0], [19, 75, 772, 98, 7, 3, 6, 18, 17, 17], [0, 15, 2, 972, 0, 6, 0, 9, 2, 4], [13, 26, 1, 6, 149, 1, 11, 0, 1, 774], [15, 28, 4, 164, 2, 658, 5, 4, 3, 9], [50, 33, 52, 8, 17, 44, 743, 0, 1, 10], [4, 63, 23, 37, 0, 0, 0, 774, 0, 127], [14, 97, 6, 253, 2, 63, 7, 11, 498, 23], [12, 28, 4, 24, 1, 4, 0, 25, 0, 911]]"
10,82.15,0.5756397079259824,0.8470232270263967,0.819073726974722,0.820503159692826,36066888,96.42857142857143,96.2114537444934,63.759689922480625,81.38613861386138,63.951120162932796,72.6457399103139,80.27139874739039,96.59533073929961,95.27720739219713,72.54707631318136,"[[945, 0, 0, 0, 1, 5, 0, 10, 19, 0], [0, 1092, 0, 2, 0, 0, 2, 4, 35, 0], [15, 14, 658, 16, 17, 1, 8, 61, 220, 22], [2, 6, 2, 822, 0, 15, 0, 73, 86, 4], [3, 0, 0, 0, 628, 0, 8, 13, 13, 317], [26, 8, 3, 36, 8, 648, 7, 43, 101, 12], [35, 7, 26, 1, 50, 30, 769, 5, 32, 3], [2, 5, 10, 4, 5, 0, 0, 993, 1, 8], [4, 2, 0, 9, 7, 6, 0, 16, 928, 2], [8, 2, 1, 2, 9, 2, 0, 236, 17, 732]]"
