Round,Accuracy,Loss,Precision,Recall,F1-Score,Communication_Cost,Class_0_Accuracy,Class_1_Accuracy,Class_2_Accuracy,Class_3_Accuracy,Class_4_Accuracy,Class_5_Accuracy,Class_6_Accuracy,Class_7_Accuracy,Class_8_Accuracy,Class_9_Accuracy,Confusion_Matrix
1,45.16,1.4282846873560653,0.41678005957529873,0.4516,0.36165692319129344,11479264,79.5,0.0,28.999999999999996,85.2,54.900000000000006,22.3,0.0,96.7,79.80000000000001,4.2,"[[795, 1, 5, 148, 19, 13, 0, 7, 12, 0], [42, 0, 6, 942, 8, 0, 0, 0, 1, 1], [231, 0, 290, 38, 399, 5, 0, 15, 22, 0], [135, 1, 0, 852, 6, 1, 0, 1, 4, 0], [194, 0, 87, 137, 549, 14, 0, 8, 11, 0], [7, 0, 0, 67, 0, 223, 0, 576, 101, 26], [427, 0, 81, 100, 295, 29, 0, 23, 44, 1], [0, 0, 0, 0, 0, 3, 0, 967, 30, 0], [8, 0, 3, 67, 43, 5, 0, 76, 798, 0], [21, 0, 0, 129, 5, 0, 0, 181, 622, 42]]"
2,57.99,1.113750848716821,0.5661350032602883,0.5799,0.5321446164421187,24393436,76.2,95.7,41.6,0.0,45.800000000000004,16.8,42.8,91.9,78.0,91.10000000000001,"[[762, 104, 12, 0, 11, 3, 93, 4, 5, 6], [8, 957, 8, 0, 10, 1, 13, 0, 1, 2], [9, 8, 416, 0, 172, 2, 387, 0, 5, 1], [50, 766, 2, 0, 91, 0, 88, 2, 1, 0], [1, 63, 205, 0, 458, 1, 268, 0, 3, 1], [1, 4, 1, 0, 1, 168, 5, 499, 48, 273], [212, 62, 152, 0, 122, 3, 428, 3, 10, 8], [0, 0, 0, 0, 0, 2, 0, 919, 6, 73], [0, 16, 5, 1, 17, 3, 70, 32, 780, 76], [1, 2, 3, 0, 3, 0, 10, 67, 3, 911]]"
3,64.61,0.9074093434757318,0.6806362987009125,0.6461,0.6113809983585898,37307608,85.2,92.4,56.10000000000001,17.599999999999998,84.1,89.7,10.7,40.0,87.5,82.8,"[[852, 22, 14, 11, 18, 7, 66, 0, 9, 1], [24, 924, 12, 6, 27, 3, 2, 0, 1, 1], [19, 2, 561, 1, 343, 2, 64, 0, 7, 1], [189, 366, 5, 176, 200, 4, 57, 0, 2, 1], [2, 17, 121, 2, 841, 2, 11, 0, 3, 1], [0, 2, 0, 0, 3, 897, 3, 6, 27, 62], [269, 14, 159, 3, 420, 6, 107, 0, 19, 3], [0, 0, 0, 0, 0, 523, 0, 400, 36, 41], [2, 3, 23, 7, 20, 26, 28, 3, 875, 13], [1, 1, 6, 0, 6, 116, 8, 11, 23, 828]]"
4,70.59,0.8392332910348813,0.7164119605054153,0.7059,0.6811998471839547,48786872,86.4,92.0,52.5,44.2,91.10000000000001,89.0,4.9,89.5,72.5,83.8,"[[864, 6, 21, 38, 29, 9, 26, 1, 6, 0], [18, 920, 12, 18, 26, 4, 1, 0, 1, 0], [31, 1, 525, 2, 413, 2, 21, 0, 5, 0], [143, 166, 11, 442, 214, 3, 19, 1, 0, 1], [3, 6, 59, 11, 911, 3, 5, 0, 1, 1], [0, 1, 1, 1, 0, 890, 0, 72, 0, 35], [293, 5, 156, 12, 467, 7, 49, 0, 10, 1], [0, 0, 0, 0, 0, 60, 0, 895, 0, 45], [6, 2, 31, 14, 59, 95, 19, 30, 725, 19], [1, 1, 7, 0, 3, 49, 5, 96, 0, 838]]"
5,73.89,0.7486417814375113,0.7274827048826504,0.7389,0.7095732401496097,63135952,80.2,93.89999999999999,78.60000000000001,79.7,60.9,93.7,1.5,80.10000000000001,90.8,79.5,"[[802, 14, 43, 105, 6, 8, 10, 0, 12, 0], [4, 939, 19, 31, 4, 2, 0, 0, 1, 0], [24, 1, 786, 10, 166, 2, 2, 0, 9, 0], [47, 72, 34, 797, 39, 0, 7, 0, 4, 0], [2, 5, 326, 52, 609, 1, 0, 0, 5, 0], [1, 2, 2, 4, 0, 937, 0, 24, 6, 24], [253, 7, 429, 76, 189, 6, 15, 0, 25, 0], [0, 0, 0, 0, 0, 141, 0, 801, 12, 46], [1, 3, 33, 13, 4, 28, 2, 6, 908, 2], [1, 1, 12, 4, 1, 88, 2, 70, 26, 795]]"
6,76.66,0.6638662885553159,0.7608457364794379,0.7666000000000001,0.7459251132398131,70310492,80.7,94.6,64.8,80.0,79.9,92.60000000000001,11.3,87.3,89.8,85.6,"[[807, 13, 19, 104, 9, 10, 26, 0, 12, 0], [5, 946, 13, 27, 4, 4, 0, 0, 1, 0], [33, 5, 648, 10, 265, 6, 21, 1, 11, 0], [47, 58, 13, 800, 54, 1, 22, 1, 3, 1], [2, 5, 130, 37, 799, 5, 14, 0, 7, 1], [0, 1, 0, 3, 0, 926, 1, 41, 2, 26], [258, 7, 172, 77, 323, 22, 113, 0, 27, 1], [0, 0, 0, 0, 0, 62, 0, 873, 5, 60], [2, 3, 20, 17, 3, 35, 5, 12, 898, 5], [0, 2, 1, 4, 1, 46, 2, 83, 5, 856]]"
7,76.33,0.6623960190687698,0.7701964119976477,0.7633000000000001,0.756930758418761,77485032,83.1,93.2,74.2,78.9,57.49999999999999,86.4,37.3,97.0,94.8,60.9,"[[831, 4, 12, 66, 4, 3, 59, 0, 21, 0], [7, 932, 17, 35, 3, 1, 4, 0, 1, 0], [26, 0, 742, 7, 130, 0, 71, 0, 24, 0], [73, 28, 14, 789, 30, 0, 59, 0, 7, 0], [1, 5, 259, 39, 575, 0, 108, 0, 13, 0], [0, 1, 0, 4, 0, 864, 5, 92, 19, 15], [264, 3, 164, 32, 106, 4, 373, 0, 54, 0], [0, 0, 0, 0, 0, 17, 0, 970, 7, 6], [1, 2, 11, 9, 2, 10, 6, 9, 948, 2], [1, 1, 6, 1, 0, 28, 7, 291, 56, 609]]"
8,73.97,0.6862666527874554,0.7878314304810605,0.7397,0.7398818067496841,87529388,47.9,94.69999999999999,35.199999999999996,57.699999999999996,90.3,92.9,55.1,85.2,90.0,90.7,"[[479, 8, 3, 54, 19, 3, 426, 0, 8, 0], [1, 947, 10, 19, 14, 1, 7, 0, 1, 0], [3, 0, 352, 3, 357, 1, 278, 0, 6, 0], [27, 83, 4, 577, 200, 0, 106, 0, 2, 1], [0, 4, 21, 3, 903, 0, 67, 0, 2, 0], [0, 2, 0, 0, 1, 929, 2, 34, 2, 30], [59, 7, 53, 13, 295, 4, 551, 0, 18, 0], [0, 0, 0, 0, 0, 60, 0, 852, 3, 85], [0, 3, 2, 5, 14, 29, 41, 4, 900, 2], [0, 2, 1, 1, 2, 27, 6, 51, 3, 907]]"
9,72.78,0.7085044397332798,0.7734914676331935,0.7278,0.7267109356983773,94703928,48.1,96.2,52.6,72.2,51.4,90.0,73.4,97.5,95.39999999999999,51.0,"[[481, 14, 6, 66, 2, 7, 403, 0, 21, 0], [1, 962, 5, 20, 3, 1, 7, 0, 1, 0], [5, 6, 526, 6, 126, 1, 306, 0, 24, 0], [20, 99, 3, 722, 38, 0, 110, 0, 8, 0], [0, 8, 152, 29, 514, 2, 280, 0, 14, 1], [0, 1, 0, 1, 0, 900, 1, 84, 7, 6], [56, 6, 90, 23, 37, 7, 734, 0, 47, 0], [0, 0, 0, 0, 0, 19, 0, 975, 4, 2], [0, 2, 8, 2, 1, 17, 10, 6, 954, 0], [0, 1, 0, 1, 1, 50, 6, 397, 34, 510]]"
10,73.08,0.7081965792674226,0.7692447527310033,0.7308,0.7044509842921316,103313376,80.7,95.1,95.5,71.8,24.099999999999998,84.2,4.9,86.5,93.2,94.8,"[[807, 10, 72, 57, 9, 4, 23, 0, 17, 1], [2, 951, 19, 22, 2, 2, 0, 0, 1, 1], [11, 0, 955, 4, 21, 0, 4, 0, 5, 0], [58, 40, 96, 718, 78, 1, 3, 0, 5, 1], [0, 4, 742, 8, 241, 0, 2, 0, 3, 0], [0, 1, 1, 1, 0, 842, 0, 74, 14, 67], [232, 5, 611, 28, 39, 4, 49, 0, 32, 0], [0, 0, 0, 0, 0, 10, 0, 865, 5, 120], [0, 3, 44, 2, 3, 6, 0, 4, 932, 6], [0, 1, 1, 0, 1, 4, 1, 38, 6, 948]]"
